"0000 - US president","0001 - US senate","0002 - governor","0003 - County Clerk","0005 - mayor","0006 - Question 1 - school budget override","0007 - Question 2 - new firehouse land purchase"
f6f5733a42f6aa81d5baa44e500b51028552b107,4c5a58810416b0c0cb1c700ae04b1aa16b8ac9cd,b4115c151d7307cb238b0e71082135d4e6bb5d5c,dacbf0255b3d325a3638a81c82d3080987b9305a,de65eca5ad236c447d2a5cbbb9110cb59460c016,f986f94050abae34083fc7df0d775c628ba84ab4,7b858bac7e79309745b9dd161ad6fe54a96ed10e
3801a74643e6010448d148ad1a50cfb64666d31d,f13284ec2ae8bf06859b9f624e8cb37a00b37a67,5441576cf26eb5ed7f25c3ecfbcf2b6f96cf5ce2,cb9b50f649ed02679a3ce9fa19ce8d3d2ba550b5,de3b68a6417b79b95fcd6bd59efe3acafbc33b2c,b46c12a2fa45fe3890a78ea252272329dbc29174,1e439783ba433e4d8d7051589da6813cb696b338
55323294d005a8ce7265cb1623b8ccbb0339f1de,b479d5ead65795ee5b7282da9d6368be25f7b99c,88efaa7fd083168a4e376c0086060cf373fb4395,b27ecc313c7a1441ed51d9747169011fd43ba9fe,ab5a78ead4891bdbf06f9e4d70bf7e8daeb01dc4,9d5c209b05807c12d673fae8d629035382f9ab48,650a21223f9bc71eb3096cde3acf96ea3702a609
7bedfdb93a893e52ebc7f9b619cd2b67988960c4,e8a8e3cee5ca5530129ce2d3f386faf70e233d26,2e8d1ecc55f35a951d43feb64b56d7c89c82580e,71f9a5e0b7c6859be1487466c5a8defd58259a23,15bff6ecd9c9ab7d0c28eb9af5badefef24e348c,e01f12c925dfa378a46c8294b987b3bdf47f039e,648815a910fb41c48005fbf290027fe5499954f3
3771316c27e31e3d303eb10a793a97ddbdc270c9,cab4305384e398c47b658260bcbcf47098ef0c83,b9a56dcc44d31f5a4fa169656196477e4f43fc80,9199befff9d1a6837a5a9f04e3cdc1e4388b90bb,11f953fcb165bf9f16807f39ab0f93628fc9831c,1326e9bab4c808732b5cee4dd5f0abb488f091b2,fa819c9d87beebd129d5c6f5c874c4aa38e09729
eaa63c926a2aa6233970728f3c2ce4ec0c1a1b43,fa1020058d38b45875a44a9fd2c609564af19ae1,df937fe33b893f7135e78d24b7cb68e50d7e76dc,d1dcb61870bfbebd0cbd5dd0c368c7316398995d,db6aa251342287d78452e6116583b52742e530d5,7ed4fd73fd519b3e41b0259349cf0c132a131488,b76c5e174ce9cf250b8348a91e7aaef39eabc42a
87e910135386b2a2ec7f935dd5ee110b04f4b50c,b0429cd418c49eb4cc1029b810c089d1b4c7458d,ef9b28bdafe56a86484b366f979f7a0d5c147ce3,70289276c9ce5785314e257f1cf5631cb09550ee,1a7f5ffab63c2a6a6b4d4703c0af33c7c2a606ce,c190b2f281ce8d5b15aad365d3c171068da1c7d6,00f4f023efb57750a5ea0def255a68cc8681bccf
cf2fb6e8ea08ffe54167fc335f81100042dcac61,e14204ebe2f84792d3a9f73aa2a541d582b48915,dbc4a6c7d3308f58229db896aa854f42ca132809,76e98c39ed77c7204bd1a9c537a466391c6f523b,ce4c5ccdbc4228123e2f829c5b3b203785bd870e,d4c4c1c2a160e605c7db54e42b378f8a7f32ad4b,25e74d7b72cf7b28d12ba2de5790f1ea8656369e
d363e25cbbfeb18786f2ba563f56ced8ef7e4f7f,ce7a875b5844a2a2d200c3ba69bc24f95df9757a,1dcdde4e18c8be35c2c3f4fb522a4ca7299d050f,eca3b7f0dd5eed1ada0d44258d36f9110702fef0,446bb4a156566028fb05f27be9a261e13647997f,85454d42cfa31a2f62620e824fb37d21733dfba2,a59077452d4544652fde1c7daca456f90a17101b
8d164ca13ecfbdf5250050d4f7979bd3e93374e6,b14085cd7c727801736a74abc4799f314ef4752e,346878e92bfa8424c053927dbfc2a858c065003b,7dacc36b9cee5aae8265ab45ec07933f0d913b69,88d7c5835f15533f003d4acfde78189df8df1d59,73e245a78446ff4b3ef6f9365eab542bf23c9e6d,84df85a5210460141b1be9a82c1f09eec61b4211
20a4c4f90f952eeedfe840afa18e5082410fd0e8,5cfee911a74d4e39d9d845ef129c6e482fd162f8,ac2dd43d335b09a3ff3c55ebfde658da659cb56f,8623767bb4bb82393ff69f2644125bc57819dbbe,72e568e9f9514fea6d688ec7df9edca9c8cc2cb9,1cdc33049873601d110f2200b54b069bfa8105c6,ece417e1d16c3b4b90c514ca00b6fe49ed3818b6
e624286c89f73b000e6c0d0c9074f1d3d9e12ab5,92f37d49102f9103dbd5cf926dcf966214b3e34d,c05720cb5902a3a2f40fad1fa7d5da6462d72563,3fed1f9cfdeb15cfcac2336a0197100f3af19d79,9be91bf758cc37ebcd998bec1b557a1b260233ea,fbb5437c4ec958309dcf51dd9d29003b470320d7,d0860ab12fe6a132fcd0483092fcaad943e2358c
1b97c15a6544f401bb1e792e7912d7c46ca1f353,91d149e92511328db4e3b3f4d379eb58b0822262,9aca0053b1516925d3c7a40c493fe7f655637561,2e8165ef8e1bad8da183a6e76c507dc7dca5760d,ed8337b823a095a5f2dd4c164299673077c0e5a3,7ca922553e0691df5ef8a65709c9412b41bee199,4a893b9152d7694819856b32b70c6881f55e539d
1d97caa05b0d35d08c05e90f032a01cca471ad19,dfe69bd178cbdcb2e2aa7c21075915a923a92bdb,3e1631b8c966bbbdef45f9065d3fe38b35010863,c2f7728f42e0de6bed99c536516647728a706b6c,59229f4418eff39537bfecbc226c3e580847b041,3e72bac859c93f409e5f4203632b0df9677f5058,5be9734e98f5f92ebbf4195a87344ec15af2b0b9
